date,price
2020-04-01,42.14166666666667
2020-05-01,41.980000000000004
2020-06-01,40.27896666666667
2020-07-01,41.59738
2020-08-01,41.77975
2020-09-01,44.61096666666666
2020-10-01,44.36
2020-11-01,43.625
2020-12-01,47.01666666666667
2021-01-01,45.474766666666675
2021-02-01,45.87025
2021-03-01,46.666666666666664
2021-04-01,45.0
2021-05-01,45.394733333333335
2021-06-01,45.76
2021-07-01,45.76
2021-08-01,46.69
2021-09-01,46.0
2021-10-01,44.85
2021-11-01,45.4
2021-12-01,45.4
2022-01-01,45.4
2022-02-01,45.4
2022-03-01,45.4
2022-04-01,45.4
2022-05-01,45.4
2022-06-01,46.86
2022-07-01,46.86
2022-08-01,49.57
2022-09-01,49.57
2022-10-01,49.57
2022-11-01,48.07
2022-12-01,48.07
2023-01-01,48.07
2023-02-01,48.07
2023-03-01,48.07
2023-04-01,48.07
2023-05-01,50.5
2023-06-01,50.03
2023-07-01,50.03
2023-08-01,50.03
2023-09-01,47.0
2023-10-01,47.0
2023-11-01,47.0
2023-12-01,47.0
2024-01-01,47.0
2024-02-01,47.0
2024-03-01,47.0
2024-04-01,47.0
2024-05-01,49.0
2024-06-01,49.0
2024-07-01,53.8
2024-08-01,54.0
2024-09-01,54.0
2024-10-01,53.75
